  0.5   21.34  1.65  2.11  0  0  0  2.77  2.77  0  3.73  3.73  0  0  0  4.78  7.47 
 0.75   26.67  1.65  2.11  0  0  0  2.87  2.87  0  3.91  3.91  0  0  0  5.56  7.82 
   1    33.40  1.65  2.77  0  0  0  3.38  3.38  0  4.55  4.55  0  0  0  6.35  9.09
 1.25   42.16  1.65  2.77  0  0  0  3.56  3.56  0  4.85  4.85  0  0  0  6.35  9.70 
  1.5   48.26  1.65  2.77  0  0  0  3.68  3.68  0  5.08  5.08  0  0  0  7.14 10.16 
   2    60.33  1.65  2.77  0  0  0  3.91  3.91  0  5.54  5.54  0  0  0  8.74 11.07 
  2.5   73.03  2.11  3.05  0  0  0  5.16  5.16  0  7.01  7.01  0  0  0  9.53 14.02 
   3    88.90  2.11  3.05  0  0  0  5.49  5.49  0  7.62  7.62  0  0  0 11.13 15.24 
  3.5  101.60  2.11  3.05  0  0  0  5.74  5.74  0  8.08  8.08  0  0  0  0  0
   4   114.30  2.11  3.05  0  0  0  6.02  6.02  0  8.56  8.56  0 11.13  0 13.49 17.12
   5   141.30  2.77  3.40  0  0  0  6.55  6.55  0  9.53  9.53  0 12.70  0 15.88 19.09
   6   168.28  2.77  3.40  0  0  0  7.11  7.11  0 10.97 10.97  0 14.27  0 18.26 21.95
   8   219.08  2.77  3.76  0  6.35  7.04  8.18  8.18 10.31 12.70 12.70 15.09 18.26 20.62 23.01 22.23
  10   273.05  3.40  4.19  0  6.35  7.80  9.27  9.27 12.70 12.70 15.09 18.26 21.44 25.40 28.58 25.40
  12   323.85  3.96  4.57  0  6.35  8.38  9.53 10.31 14.27 12.70 17.48 21.44 25.40 28.58 33.32 25.40
  14   355.60  3.96  4.78  6.35  7.92  9.53  9.53 11.13 15.09 12.70 19.05 23.83 27.79 31.75 35.71  0
  16   406.40  4.19  4.78  6.35  7.92  9.53  9.53 12.70 16.66 12.70 21.44 26.19 30.96 36.53 40.49  0
  18   457.20  4.19  4.78  6.35  7.92 11.13  9.53 14.27 19.05 12.70 23.83 29.36 34.93 39.67 45.24  0
  20   508.00  4.78  5.54  6.35  9.53 12.70  9.53 15.09 20.62 12.70 26.19 32.54 38.10 44.45 50.01  0
  22   558.80  4.78  5.54  6.35  9.53 12.70  9.53  0 22.23 12.70 28.58 34.93 41.28 47.63 53.98  0
  24   609.60  5.54  6.35  6.35  9.53 14.27  9.53 17.48 24.61 12.70 30.94 38.89 46.02 52.37 59.54  0
